Manufacturer,Serial Number,Construction Year,Material,Equipment Type,All.Manufacturer part number,,"Please analyze the data and state if there is any data issue or required cleansing ? If yes please state them below in points and what is the next steps which should to be taken accordignly.
Mandatory to state the technique which used for analysing the data ."
FRICOOL,129284/20212,2012,000000051000000387,3005,3000088541,,
FRICOOL,129292/2012,2012,000000051000000004,3005,1552,,
FRICOOL,129330/2012,2012,000000051000000004,3005,1556,,
FRICOOL,1310628/2013,2013,000000051000000004,3005,201075931,,
FRICOOL,1311002/2013,2013,000000051000000004,3005,1560,,
FRICOOL,1311202/2013,2013,000000051000000004,3005,1565,,
FRICOOL,1315609/2013,2013,000000051000000387,3005,3000097789,,
FRICOOL,1315988/2013,2013,000000051000000004,3005,1571,,
FRICOOL,1318986/2013,2013,000000051000000004,3005,3000103501,,
FRICOOL,1319119/2013,2013,000000051000000386,3004,FB1573,,
FRICOOL,1320104/2013,2013,000000051000000004,3005,3000100702,,
FRICOOL,132342/2013,2013,000000051000000004,3005,1578,,
FRICOOL,133169/2013,2013,000000051000000004,3005,1579,,
FRICOOL,133614/2013,2013,000000051000000004,3005,1580,,
FRICOOL,133685/2013,2013,000000051000000003,3004,1582,,
FRICOOL,133964/2013,2013,000000051000000004,3005,1585,,
FRICOOL,134722/2013,2013,000000051000000386,3004,FB1586,,
FRICOOL,134732/2013,2013,000000051000000386,3004,1587,,
FRICOOL,1410862/2014,2014,000000051000000004,3005,FB1591,,
FRICOOL,1412305/2014,2014,000000051000000387,3005,1593,,
FRICOOL,141237/2014,2014,000000051000000387,3005,FB1595,,
FRICOOL,1412545/2014,2014,000000051000000387,3005,FB1596,,
FRICOOL,1412564/2014,2014,000000051000000004,3005,3000097825,,
FRICOOL,1412624/2014,2014,000000051000000387,3005,1600,,
FRICOOL,1412901/2014,2014,000000051000000004,3005,201075945,,
FRICOOL,1413622/2014,2014,000000051000000004,3005,FB1608,,
FRICOOL,1414101/2014,2014,000000051000000004,3005,FB1611,,
FRICOOL,1414934/2014,2014,000000051000000004,3005,1614,,
FRICOOL,1416513/2014,2014,000000051000000004,,1619,,
FRICOOL,1419499/2014,2014,000000051000000004,3005,1620,,
FRICOOL,142018/2014,2014,000000051000000004,3005,1624,,
FRICOOL,1422852/2014,2014,000000051000000004,3005,201072597,,
FRICOOL,1425141/2014,2014,000000051000000004,3005,FB1632,,
FRICOOL,144269/2014,2014,000000051000000004,3005,1633,,
FRICOOL,147586/2014,2014,000000051000000004,3005,201075932,,
FRICOOL,149384/2014,2014,000000051000000004,3005,1637,,
FRICOOL,15040010116/2015,2015,000000051000000004,3005,3000103496,,
FRICOOL,151686/2015,2015,000000051000000004,3005,1651,,
FRICOOL,1517364/2015,2015,000000051000000004,3005,1652,,
FRICOOL,1520416/2015,2015,000000051000000386,3004,1654,,
FRICOOL,1522821/2015,2015,000000051000000387,3005,3000103493,,
FRICOOL,1523236/2015,2015,000000051000000004,3005,FB1657,,
FRICOOL,1523415/2015,2015,000000051000000387,3005,3000103498,,
FRICOOL,153184/2015,2015,000000051000000004,3005,1669,,
FRICOOL,15342/2015,2015,000000051000000004,3005,1671,,
FRICOOL,154027/2015,2015,000000051000000386,3004,1679,,
FRICOOL,1551574/2015,2015,000000051000000004,3005,3000103499,,
FRICOOL,155308/2015,2015,000000051000000387,3005,3000100707,,
FRICOOL,156276/2015,2015,000000051000000004,3005,1691,,
FRICOOL,157610/2015,2015,000000051000000004,3005,FB1693,,
FRICOOL,158289/2015,2015,000000051000000448,3006,1696,,
FRICOOL,158884/2015,2015,000000051000000004,3005,1705,,
FRICOOL,161102/2016,2016,000000051000000387,3005,1707,,
FRICOOL,1611519/2016,2016,000000051000000004,3005,1716,,
FRICOOL,1613111/2016,2016,000000051000000387,3005,1724,,
FRICOOL,1613973/2016,2016,000000051000000386,3004,201072536,,
FRICOOL,1614153/2016,2016,000000051000000004,3005,FB1728,,
FRICOOL,1619269/2016,2016,000000051000000448,3006,3000100699,,
FRICOOL,1619683/2017,2017,000000051000000005,3006,FB1733,,
FRICOOL,1620570/2016,2016,000000051000000387,3005,201075923,,
FRICOOL,162069/2016,2016,000000051000000387,3005,1739,,
FRICOOL,1621183/2016,2016,000000051000000004,3005,1748,,
FRICOOL,1622132/2016,2016,000000051000000387,3005,1770,,
FRICOOL,1622662/2016,2016,000000051000000386,3004,FB1771,,
FRICOOL,1622663/2016,2016,000000051000000386,3004,FB1772,,
FRICOOL,1622664/2016,2016,000000051000000386,3004,1775,,
FRICOOL,162498/2016,2016,000000051000000004,3005,FB1777,,
FRICOOL,162626/2016,2016,000000051000000004,3005,3000100737,,
FRICOOL,163530/2016,2016,000000051000000386,3004,FB1779FB,,
FRICOOL,164034/2016,2016,000000051000000003,3004,FB1783,,
FRICOOL,164309/2016,2016,000000051000000387,3005,1802,,
FRICOOL,164635/2016,2016,000000051000000004,3005,1803,,
FRICOOL,174034/2017,2017,000000051000000387,3005,201071659,,
FRICOOL,1771/2007,2007,000000051000000385,3003,3000088597,,
FRICOOL,186051/2018,2018,000000051000000004,3005,FB1821,,
FRICOOL,18654/2018,2018,000000051000000004,3005,1822,,
FRICOOL,18937/2006,2006,000000051000000386,3004,FB1831,,
